买量,买价,最新价,卖价,卖量,持仓量,振幅,涨跌幅,行权价
2,0.3711,0.3711,0.3839,10,2673,0.1479,-0.2282,2.2
1,0.3254,0.3263,0.3305,1,1285,0.1553,-0.2459,2.25
5,0.2843,0.289,0.2948,10,2532,0.175,-0.2552,2.3
7,0.2436,0.2436,0.2458,1,2504,0.1735,-0.2919,2.35
30,0.2083,0.21,0.2089,1,3050,0.1725,-0.3007,2.4
1,0.1732,0.174,0.1741,1,3200,0.2096,-0.3297,2.45
6,0.1433,0.1462,0.1452,1,6480,0.2285,-0.345,2.5
37,0.1172,0.1172,0.1176,20,7302,0.2814,-0.3729,2.55
25,0.0952,0.0952,0.0953,1,8351,0.2346,-0.383,2.6
1,0.074,0.0743,0.0743,6,10389,0.2494,-0.408,2.65
5,0.0583,0.059,0.059,1,15728,0.2366,-0.4158,2.7
4,0.0442,0.0442,0.0448,1,10549,0.2991,-0.4398,2.75
10,0.0333,0.0337,0.0338,1,10669,0.3135,-0.4582,2.8
8,0.0241,0.0241,0.0244,23,14960,0.3217,-0.4761,2.85
2,0.0184,0.0184,0.0186,4,19368,0.3454,-0.4875,2.9
17,0.0134,0.0134,0.0136,1,37359,0.3092,-48.85%,2.95
